customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,dependency_score,value_tier,value_score,satisfaction_flag,loyalty_segment,retention_risk,age_group,promo_sensitivity,premium_customer
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,2,Medium Value,0.46521683673469383,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,2,Medium Value,0.4536224489795918,Unsatisfied,Low Loyalty,Low Risk,Young Adult,High,No
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2,High Value,0.6828188775510203,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,2,High Value,0.9376275510204081,Unsatisfied,High Loyalty,Low Risk,Young Adult,High,Yes
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,2,Medium Value,0.446798469387755,Unsatisfied,Medium Loyalty,Low Risk,Mature,High,No
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,2,Low Value,0.32959183673469383,Unsatisfied,Low Loyalty,Low Risk,Mature,High,No
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,2,High Value,0.7845025510204082,Unsatisfied,High Loyalty,Low Risk,Mature,High,Yes
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,2,Medium Value,0.43895408163265304,Unsatisfied,Low Loyalty,Low Risk,Adult,High,No
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,2,High Value,0.575982142857143,Unsatisfied,Low Loyalty,High Risk,Adult,High,No
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2,Low Value,0.20524234693877552,Satisfied,Low Loyalty,Low Risk,Mature,High,No
